project,model,psnr_diff,ssim_diff,lpips_diff,psnr_model,psnr_base,ssim_model,ssim_base,lpips_model,lpips_base,loss_diff,gaussian_diff,time_diff_s,geometry_lr_mult,appearance_lr_mult,densification_mult
DJI_202402171501_006_KTM20-oblique,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,-0.08631134033203125,0.027519166469573975,0.06900076568126678,22.58514976501465,22.67146110534668,0.7724666595458984,0.7449474930763245,0.24005325138568878,0.30905401706695557,0.0023352429270744324,3293891,1725.9970338344574,1.0,1.0,1.0
12-Maisonneuve Market,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,-0.6805286407470703,-0.004985511302947998,-0.006795287132263184,16.41773223876953,17.0982608795166,0.6482682824134827,0.6532537937164307,0.4807518720626831,0.4739565849304199,-0.006308339536190033,237617,83.94379782676697,1.0,1.0,1.0
12-Maisonneuve Market,model_compact-mlp_20260713_095531_final_compact_mlp_with_hard_cap_data_july13,0.09765625,-0.00932157039642334,-0.013217508792877197,17.1959171295166,17.0982608795166,0.6439322233200073,0.6532537937164307,0.4871740937232971,0.4739565849304199,0.0006560459733009338,-125739,25.66856050491333,1.0,1.0,1.0
4-Thomas-More-Church,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,0.30945777893066406,0.019812345504760742,0.04115426540374756,22.176898956298828,21.867441177368164,0.7999257445335388,0.7801133990287781,0.260840505361557,0.30199477076530457,0.021289534866809845,782426,195.67355918884277,1.0,1.0,1.0
4-Thomas-More-Church,model_compact-mlp_20260713_095531_final_compact_mlp_with_hard_cap_data_july13,0.024982452392578125,-0.009199202060699463,-0.011038541793823242,21.892423629760742,21.867441177368164,0.7709141969680786,0.7801133990287781,0.3130333125591278,0.30199477076530457,0.02691110223531723,-333793,-8.535855054855347,1.0,1.0,1.0
Brasov,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,-0.053577423095703125,0.004299759864807129,0.014860332012176514,23.308656692504883,23.362234115600586,0.8065834045410156,0.8022836446762085,0.17768220603466034,0.19254253804683685,-0.0002997554838657379,-900600,-79.789785861969,1.0,1.0,1.0
Brasov,model_compact-mlp_20260713_095531_final_compact_mlp_with_hard_cap_data_july13,-0.09061431884765625,0.003383040428161621,0.019985780119895935,23.27161979675293,23.362234115600586,0.8056666851043701,0.8022836446762085,0.17255675792694092,0.19254253804683685,0.002317342907190323,-828446,-74.80730271339417,1.0,1.0,1.0
Changu,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,0.1379261016845703,0.010831773281097412,0.019203543663024902,20.11827850341797,19.9803524017334,0.6329358220100403,0.6221040487289429,0.4989345073699951,0.51813805103302,-0.0012829229235649109,488481,69.70936965942383,1.0,1.0,1.0
Changu,model_compact-mlp_20260713_095531_final_compact_mlp_with_hard_cap_data_july13,-0.9234237670898438,-0.07448267936706543,-0.08332997560501099,19.056928634643555,19.9803524017334,0.5476213693618774,0.6221040487289429,0.601468026638031,0.51813805103302,-0.014426618814468384,-306447,-21.99861717224121,1.0,1.0,1.0
Chatteau_circle_60_and_45_degrees,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,-0.3290977478027344,-0.05633676052093506,-0.12724661827087402,23.046329498291016,23.37542724609375,0.5111361742019653,0.5674729347229004,0.576518177986145,0.449271559715271,-0.011164724826812744,-284052,-17.61115288734436,1.0,1.0,1.0
Chatteau_circle_60_and_45_degrees,model_compact-mlp_20260713_095531_final_compact_mlp_with_hard_cap_data_july13,0.154815673828125,-0.008656859397888184,-0.042928099632263184,23.530242919921875,23.37542724609375,0.5588160753250122,0.5674729347229004,0.4921996593475342,0.449271559715271,0.006525188684463501,-215905,-9.903787851333618,1.0,1.0,1.0
DJI_202402171501_006_KTM20-oblique,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,-0.5726432800292969,-0.032213449478149414,-0.019220471382141113,22.098817825317383,22.67146110534668,0.712734043598175,0.7449474930763245,0.3282744884490967,0.30905401706695557,0.002084091305732727,-1658384,-296.93233823776245,1.0,1.0,1.0
DJI_202402171501_006_KTM20-oblique,model_compact-mlp_20260713_095531_final_compact_mlp_with_hard_cap_data_july13,-0.9075927734375,-0.044668734073638916,-0.024737030267715454,21.76386833190918,22.67146110534668,0.7002787590026855,0.7449474930763245,0.333791047334671,0.30905401706695557,-0.0058363378047943115,-1674636,-293.4114019870758,1.0,1.0,1.0
Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,-0.5307254791259766,-0.01998060941696167,-0.04161083698272705,20.412235260009766,20.942960739135742,0.6625605225563049,0.6825411319732666,0.49516209959983826,0.4535512626171112,-0.0006732717156410217,-165842,-16.15652632713318,1.0,1.0,1.0
Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,model_compact-mlp_20260713_095531_final_compact_mlp_with_hard_cap_data_july13,-0.9458465576171875,-0.021820127964019775,-0.03520387411117554,19.997114181518555,20.942960739135742,0.6607210040092468,0.6825411319732666,0.48875513672828674,0.4535512626171112,0.005008399486541748,-177481,-11.200344562530518,1.0,1.0,1.0
